N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
699,edisonn699.xlsx,GMM,5000,100,20,2:40,normal,0.3,5,0,0,1.0,0.88,1.0,1.0,1.0,0.89,1.0,1.0,0.7,1.0,1.0,0.32,0.83,1.0,0.98,0.93,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,0.9737330407229356
700,edisonn700.xlsx,GMM,5000,100,21,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.9,1.0,1.0,0.85,1.0,1.0,0.38,0.72,1.0,0.97,0.93,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9490278742614928
701,edisonn701.xlsx,GMM,5000,100,21,2:40,normal,0.1,5,0,0,1.0,0.89,0.99,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.31,0.78,1.0,1.0,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.54,0.31,0.8349149486989761
702,edisonn702.xlsx,GMM,5000,100,21,2:40,normal,0.3,1,0,0,1.0,0.89,1.0,1.0,1.0,0.99,1.0,1.0,0.91,1.0,1.0,0.38,0.75,1.0,0.38,0.93,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.38,1.0,1.0,NI,0.94,1.0,1.0,0.99,NI,NI,1.0,1.0,0.38,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9471631617656296
703,edisonn703.xlsx,GMM,5000,100,21,2:40,normal,0.3,5,0,0,1.0,0.89,0.99,1.0,1.0,0.94,1.0,1.0,0.94,1.0,1.0,0.31,0.78,1.0,1.0,0.94,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.54,0.31,1.0
704,edisonn704.xlsx,GMM,5000,100,22,2:40,normal,0.1,1,0,0,1.0,0.9,1.0,1.0,1.0,0.98,1.0,1.0,0.74,1.0,1.0,0.3,0.69,1.0,1.0,0.94,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,1.0,0.9454038218399212
705,edisonn705.xlsx,GMM,5000,100,22,2:40,normal,0.1,5,0,0,1.0,0.9,1.0,1.0,1.0,0.95,1.0,1.0,0.97,1.0,1.0,0.37,0.79,1.0,1.0,0.94,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,0.9752482240083774
706,edisonn706.xlsx,GMM,5000,100,22,2:40,normal,0.3,1,0,0,1.0,0.9,1.0,1.0,1.0,0.93,1.0,1.0,0.94,1.0,1.0,0.3,0.69,1.0,Full NaN,0.94,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,NI,0.95,1.0,1.0,0.99,NI,NI,1.0,1.0,0.3,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,1.0,0.997350184543226
707,edisonn707.xlsx,GMM,5000,100,22,2:40,normal,0.3,5,0,0,1.0,0.91,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.37,0.84,1.0,0.37,0.96,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.64,0.37,0.98692873839239
708,edisonn708.xlsx,GMM,5000,100,23,2:40,normal,0.1,1,0,0,1.0,0.92,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,1.0,0.26,0.81,1.0,1.0,0.96,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26,0.26,1.0,0.9999999999999996
709,edisonn709.xlsx,GMM,5000,100,23,2:40,normal,0.1,5,0,0,1.0,0.91,1.0,1.0,1.0,0.97,1.0,1.0,0.96,1.0,1.0,0.32,0.77,1.0,1.0,0.95,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,1.0,0.8692209364481742
