N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
379,edisonn379.xlsx,GMM,5000,20,18,2:40,normal,0.3,5,0,0,1.0,0.86,1.0,1.0,1.0,0.89,1.0,1.0,0.87,1.0,1.0,0.4,0.55,1.0,0.86,0.89,Full NaN,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.88,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0
380,edisonn380.xlsx,GMM,5000,20,19,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.92,1.0,1.0,0.8,1.0,1.0,0.39,0.55,1.0,0.88,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,1.0000000000000004
381,edisonn381.xlsx,GMM,5000,20,19,2:40,normal,0.1,5,0,0,1.0,0.86,0.99,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.35,0.66,1.0,0.86,0.9,0.99,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.88,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.66,1.0,
382,edisonn382.xlsx,GMM,5000,20,19,2:40,normal,0.3,1,0,0,0.98,0.87,0.99,0.98,0.99,0.94,0.99,0.99,0.86,0.98,0.99,0.39,0.54,0.99,0.87,0.9,Full NaN,0.99,0.98,0.98,0.99,0.99,0.99,0.39,0.98,0.98,NI,0.89,0.99,0.96,0.99,NI,NI,0.99,0.98,0.39,NI,0.99,0.99,0.93,0.96,0.39,0.93,0.93,0.39,0.93,0.96,0.99,0.96,0.96,0.39,0.39,0.39,1.0000000000000004
383,edisonn383.xlsx,GMM,5000,20,19,2:40,normal,0.3,5,0,0,1.0,0.87,1.0,1.0,1.0,0.95,1.0,1.0,0.94,1.0,1.0,0.35,0.74,1.0,0.87,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,1.0,0.9999999999999998
384,edisonn384.xlsx,GMM,5000,20,20,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.93,1.0,1.0,0.99,1.0,1.0,0.35,0.83,1.0,0.88,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,1.0,0.9705501718524387
385,edisonn385.xlsx,GMM,5000,20,20,2:40,normal,0.1,5,0,0,1.0,0.88,1.0,1.0,1.0,0.89,1.0,1.0,0.78,1.0,1.0,0.37,0.66,1.0,0.93,0.92,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,1.0,0.9999999999999998
386,edisonn386.xlsx,GMM,5000,20,20,2:40,normal,0.3,1,0,0,1.0,0.88,1.0,1.0,1.0,0.95,1.0,1.0,0.96,1.0,1.0,0.39,0.69,1.0,0.88,0.91,Full NaN,1.0,1.0,0.63,1.0,1.0,1.0,0.39,1.0,1.0,NI,0.9,1.0,1.0,0.99,NI,NI,1.0,1.0,0.39,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,0.9902268372221876
387,edisonn387.xlsx,GMM,5000,20,20,2:40,normal,0.3,5,0,0,1.0,0.88,1.0,1.0,1.0,0.92,1.0,1.0,0.78,1.0,1.0,0.37,0.66,1.0,0.88,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,1.0,0.9829731374260914
388,edisonn388.xlsx,GMM,5000,20,21,2:40,normal,0.1,1,0,0,1.0,0.89,1.0,1.0,1.0,0.97,1.0,1.0,0.82,1.0,1.0,0.28,0.73,1.0,0.89,0.92,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.51,0.28,0.9999999999999998
389,edisonn389.xlsx,GMM,5000,20,21,2:40,normal,0.1,5,0,0,1.0,0.89,0.99,1.0,1.0,0.98,1.0,1.0,0.77,1.0,1.0,0.35,0.74,1.0,0.91,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,1.0,
390,edisonn390.xlsx,GMM,5000,20,21,2:40,normal,0.3,1,0,0,0.99,0.89,0.99,0.99,0.99,0.9,0.98,0.99,0.94,0.99,0.99,0.37,0.7,0.99,0.89,0.92,Full NaN,0.99,0.99,0.9,0.99,0.99,0.99,0.37,0.99,0.99,NI,0.91,0.99,0.99,0.99,NI,NI,0.99,0.7,0.37,NI,0.99,0.98,0.98,0.98,0.37,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.37,0.37,0.37,0.9999999999999998
391,edisonn391.xlsx,GMM,5000,20,21,2:40,normal,0.3,5,0,0,1.0,0.88,1.0,1.0,1.0,0.99,1.0,1.0,0.87,1.0,1.0,0.35,0.51,1.0,0.88,0.92,Full NaN,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,1.0,0.9999999999999998
392,edisonn392.xlsx,GMM,5000,20,22,2:40,normal,0.1,1,0,0,1.0,0.89,1.0,1.0,1.0,0.96,1.0,1.0,0.92,1.0,1.0,0.38,0.63,1.0,0.9,0.93,Full NaN,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9800300499634288
393,edisonn393.xlsx,GMM,5000,20,22,2:40,normal,0.1,5,0,0,1.0,0.89,1.0,1.0,1.0,0.9,1.0,1.0,0.87,1.0,1.0,0.49,0.63,1.0,0.89,0.93,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,0.99,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,1.0,
394,edisonn394.xlsx,GMM,5000,20,22,2:40,normal,0.3,1,0,0,1.0,0.89,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.38,0.52,1.0,0.89,0.93,Full NaN,1.0,1.0,0.52,1.0,1.0,1.0,0.38,1.0,1.0,NI,0.92,1.0,1.0,1.0,NI,NI,1.0,1.0,0.38,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.38,0.38,1.0
395,edisonn395.xlsx,GMM,5000,20,22,2:40,normal,0.3,5,0,0,1.0,0.9,1.0,1.0,1.0,0.92,1.0,1.0,0.6,1.0,1.0,0.32,0.72,1.0,0.9,0.93,Full NaN,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,0.99,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,1.0,1.0
396,edisonn396.xlsx,GMM,5000,20,23,2:40,normal,0.1,1,0,0,1.0,0.9,1.0,1.0,1.0,0.95,1.0,1.0,0.96,1.0,1.0,0.32,0.62,1.0,0.9,0.93,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.53,0.32,0.986284836478765
397,edisonn397.xlsx,GMM,5000,20,23,2:40,normal,0.1,5,0,0,1.0,0.9,1.0,1.0,1.0,0.94,1.0,1.0,0.83,1.0,1.0,0.34,0.69,1.0,0.9,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.34,0.34,0.9999999999999998
398,edisonn398.xlsx,GMM,5000,20,23,2:40,normal,0.3,1,0,0,0.98,0.9,1.0,0.98,1.0,0.98,1.0,1.0,0.95,0.98,1.0,0.35,0.52,1.0,0.9,0.94,Full NaN,1.0,1.0,0.98,1.0,1.0,1.0,0.35,0.98,1.0,NI,0.92,1.0,1.0,0.99,NI,NI,1.0,0.98,0.35,NI,1.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,0.9763761491164732
399,edisonn399.xlsx,GMM,5000,20,23,2:40,normal,0.3,5,0,0,1.0,0.91,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.37,0.52,1.0,0.91,0.94,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.37,0.37,0.9901578791534474
400,edisonn400.xlsx,GMM,5000,20,24,2:40,normal,0.1,1,0,0,1.0,0.91,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.37,0.77,1.0,0.93,0.95,Full NaN,1.0,1.0,0.47,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47,0.37,0.37,1.0000000000000002
401,edisonn401.xlsx,GMM,5000,20,24,2:40,normal,0.1,5,0,0,1.0,0.91,0.99,1.0,1.0,0.96,1.0,1.0,0.99,1.0,1.0,0.37,0.59,1.0,0.91,0.95,0.99,1.0,1.0,0.48,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,
402,edisonn402.xlsx,GMM,5000,20,24,2:40,normal,0.3,1,0,0,1.0,0.91,1.0,1.0,1.0,0.93,1.0,1.0,0.96,1.0,1.0,0.35,0.77,1.0,0.91,0.95,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,1.0,NI,0.93,1.0,1.0,0.96,NI,NI,1.0,0.99,0.35,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,1.0
403,edisonn403.xlsx,GMM,5000,20,24,2:40,normal,0.3,5,0,0,1.0,0.91,0.99,1.0,1.0,0.98,1.0,0.89,0.93,1.0,1.0,0.37,0.59,1.0,0.91,0.95,Full NaN,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,0.99,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,0.9889638441138426
404,edisonn404.xlsx,GMM,5000,20,25,2:40,normal,0.1,1,0,0,1.0,0.92,1.0,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.36,0.52,1.0,0.92,0.95,Full NaN,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.52,0.36,1.0
405,edisonn405.xlsx,GMM,5000,20,25,2:40,normal,0.1,5,0,0,1.0,0.92,1.0,1.0,1.0,0.95,1.0,1.0,0.75,1.0,1.0,0.36,0.61,1.0,0.92,0.96,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,1.0,
406,edisonn406.xlsx,GMM,5000,20,25,2:40,normal,0.3,1,0,0,1.0,0.92,1.0,1.0,1.0,0.93,1.0,1.0,0.98,1.0,1.0,0.34,0.52,1.0,0.92,0.95,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.34,1.0,1.0,NI,0.94,0.99,1.0,0.98,NI,NI,1.0,1.0,0.34,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.34,0.34,0.9891864625109298
407,edisonn407.xlsx,GMM,5000,20,25,2:40,normal,0.3,5,0,0,1.0,0.93,1.0,1.0,1.0,0.98,1.0,1.0,0.82,1.0,1.0,0.34,0.52,1.0,0.94,0.96,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.62,0.34,1.0
408,edisonn408.xlsx,GMM,5000,20,26,2:40,normal,0.1,1,0,0,1.0,0.92,0.99,1.0,1.0,0.94,1.0,1.0,0.55,1.0,1.0,0.43,0.71,1.0,0.92,0.96,Full NaN,1.0,1.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,0.99,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,0.36,1.0
409,edisonn409.xlsx,GMM,5000,20,26,2:40,normal,0.1,5,0,0,1.0,0.93,1.0,1.0,1.0,0.95,1.0,1.0,0.99,1.0,1.0,0.29,0.49,1.0,0.93,0.97,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29,0.29,0.29,
410,edisonn410.xlsx,GMM,5000,20,26,2:40,normal,0.3,1,0,0,1.0,0.92,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.46,0.64,1.0,0.92,0.96,Full NaN,1.0,1.0,1.0,1.0,0.99,1.0,0.36,1.0,1.0,NI,0.94,0.99,1.0,0.99,NI,NI,1.0,0.98,0.36,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,0.36,0.992748243785714
411,edisonn411.xlsx,GMM,5000,20,26,2:40,normal,0.3,5,0,0,1.0,0.92,1.0,1.0,1.0,0.94,1.0,1.0,0.9,1.0,1.0,0.29,0.49,1.0,0.94,0.96,Full NaN,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29,0.29,0.29,0.9936912047863176
412,edisonn412.xlsx,GMM,5000,20,27,2:40,normal,0.1,1,0,0,1.0,0.93,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.3,0.65,1.0,0.93,0.97,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.9917158792294846
413,edisonn413.xlsx,GMM,5000,20,27,2:40,normal,0.1,5,0,0,1.0,0.93,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.33,0.55,1.0,0.93,0.97,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.33,0.33,
414,edisonn414.xlsx,GMM,5000,20,27,2:40,normal,0.3,1,0,0,1.0,0.93,1.0,1.0,1.0,0.95,1.0,1.0,0.96,1.0,1.0,0.3,0.6,1.0,0.93,0.97,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,1.0,0.3,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,1.0000000000000002
415,edisonn415.xlsx,GMM,5000,20,27,2:40,normal,0.3,5,0,0,1.0,0.93,1.0,1.0,1.0,0.96,1.0,1.0,0.79,1.0,1.0,0.32,0.55,1.0,0.93,0.97,Full NaN,1.0,1.0,0.44,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.95,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,0.9930919841527238
416,edisonn416.xlsx,GMM,5000,20,28,2:40,normal,0.1,1,0,0,1.0,0.93,1.0,1.0,1.0,0.96,1.0,1.0,0.97,1.0,1.0,0.35,0.5,1.0,0.93,0.97,Full NaN,1.0,1.0,0.69,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,1.0
417,edisonn417.xlsx,GMM,5000,20,28,2:40,normal,0.1,5,0,0,1.0,0.94,1.0,1.0,1.0,0.98,1.0,1.0,0.96,1.0,1.0,0.32,0.64,1.0,0.94,0.98,0.99,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,1.0,1.0
418,edisonn418.xlsx,GMM,5000,20,28,2:40,normal,0.3,1,0,0,0.93,0.94,1.0,1.0,1.0,0.94,1.0,1.0,0.71,1.0,1.0,0.35,0.61,1.0,0.94,0.98,Full NaN,1.0,1.0,0.97,1.0,1.0,1.0,0.35,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,0.99,0.35,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.61,0.35,1.0
419,edisonn419.xlsx,GMM,5000,20,28,2:40,normal,0.3,5,0,0,1.0,0.94,1.0,1.0,1.0,0.99,1.0,1.0,0.91,1.0,1.0,0.34,0.64,1.0,0.94,0.97,Full NaN,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.96,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.34,1.0,0.9930170477586872
420,edisonn420.xlsx,GMM,5000,20,29,2:40,normal,0.1,1,0,0,1.0,0.94,1.0,1.0,1.0,0.99,1.0,1.0,0.92,1.0,1.0,0.35,0.48,1.0,0.94,0.98,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,1.0
421,edisonn421.xlsx,GMM,5000,20,29,2:40,normal,0.1,5,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.36,0.5,1.0,0.95,0.98,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,0.36,
422,edisonn422.xlsx,GMM,5000,20,29,2:40,normal,0.3,1,0,0,0.96,0.95,1.0,1.0,1.0,0.99,1.0,1.0,0.62,1.0,1.0,0.35,0.49,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,1.0,NI,0.97,1.0,1.0,0.96,NI,NI,1.0,1.0,0.35,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,0.9908533674354784
423,edisonn423.xlsx,GMM,5000,20,29,2:40,normal,0.3,5,0,0,1.0,0.94,1.0,1.0,1.0,0.96,1.0,1.0,0.91,1.0,1.0,0.36,0.5,1.0,0.94,0.98,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,0.36,0.9918477041582842
424,edisonn424.xlsx,GMM,5000,20,30,2:40,normal,0.1,1,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.97,1.0,1.0,0.27,0.58,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27,0.27,0.27,1.0
425,edisonn425.xlsx,GMM,5000,20,30,2:40,normal,0.1,5,0,0,1.0,0.95,1.0,1.0,1.0,0.98,1.0,1.0,0.96,1.0,1.0,0.33,0.58,1.0,0.95,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.33,0.33,
426,edisonn426.xlsx,GMM,5000,20,30,2:40,normal,0.3,1,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.83,1.0,1.0,0.27,0.5,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.27,1.0,1.0,NI,0.97,1.0,1.0,0.99,NI,NI,1.0,1.0,0.27,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27,0.66,0.27,0.9916180355629248
427,edisonn427.xlsx,GMM,5000,20,30,2:40,normal,0.3,5,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.24,0.58,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.24,0.24,0.9759903852535092
428,edisonn428.xlsx,GMM,5000,20,31,2:40,normal,0.1,1,0,0,1.0,0.96,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,1.0,0.31,0.57,1.0,0.96,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.97,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.31,0.31,1.0000000000000002
429,edisonn429.xlsx,GMM,5000,20,31,2:40,normal,0.1,5,0,0,1.0,0.96,1.0,1.0,1.0,0.96,1.0,0.85,0.96,1.0,1.0,0.35,0.5,1.0,0.96,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.98,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,1.0
430,edisonn430.xlsx,GMM,5000,20,31,2:40,normal,0.3,1,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.92,1.0,1.0,0.31,0.5,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.31,1.0,1.0,NI,0.98,1.0,1.0,1.0,NI,NI,1.0,1.0,0.31,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.31,0.31,0.9242154425707252
431,edisonn431.xlsx,GMM,5000,20,31,2:40,normal,0.3,5,0,0,1.0,0.95,1.0,1.0,1.0,0.96,1.0,1.0,0.79,1.0,1.0,0.32,0.63,1.0,0.95,0.99,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.98,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,
