index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
132,132,edisonn132.xlsx,GMM,5000,2,35,2:40,normal,0.1,1,500,0,132,52,16,54,106,15,54,54,39,54,54,4,53,54,2
133,133,edisonn133.xlsx,GMM,5000,2,35,2:40,normal,0.1,5,500,0,133,53,12,54,106,7,10,54,2,54,54,6,49,53,2
134,134,edisonn134.xlsx,GMM,5000,2,35,2:40,normal,0.3,1,500,0,134,49,47,54,106,12,54,27,48,54,54,3,15,54,3
135,135,edisonn135.xlsx,GMM,5000,2,35,2:40,normal,0.3,5,500,0,135,52,18,54,102,15,6,54,5,54,54,6,54,54,5
136,136,edisonn136.xlsx,GMM,5000,2,36,2:40,normal,0.1,1,500,0,136,51,13,55,108,5,55,54,2,55,55,4,54,55,4
137,137,edisonn137.xlsx,GMM,5000,2,36,2:40,normal,0.1,5,500,0,137,55,50,55,98,15,3,54,3,55,55,3,51,55,2
138,138,edisonn138.xlsx,GMM,5000,2,36,2:40,normal,0.3,1,500,0,138,46,31,55,108,17,36,31,3,55,55,3,17,48,2
139,139,edisonn139.xlsx,GMM,5000,2,36,2:40,normal,0.3,5,500,0,139,55,8,55,108,8,3,53,3,55,55,3,33,55,2
140,140,edisonn140.xlsx,GMM,5000,2,37,2:40,normal,0.1,1,500,0,140,55,24,56,110,13,4,56,4,56,56,4,53,56,3
141,141,edisonn141.xlsx,GMM,5000,2,37,2:40,normal,0.1,5,500,0,141,56,15,56,110,10,56,56,54,56,56,30,51,56,2
142,142,edisonn142.xlsx,GMM,5000,2,37,2:40,normal,0.3,1,500,0,142,56,18,56,110,12,36,35,34,56,56,4,17,40,2
143,143,edisonn143.xlsx,GMM,5000,2,37,2:40,normal,0.3,5,500,0,143,56,22,56,110,7,56,53,44,56,56,5,56,56,2
144,144,edisonn144.xlsx,GMM,5000,2,38,2:40,normal,0.1,1,500,0,144,56,37,57,112,20,57,57,52,57,57,4,57,57,3
145,145,edisonn145.xlsx,GMM,5000,2,38,2:40,normal,0.1,5,500,0,145,55,20,57,112,18,57,57,5,57,57,6,57,56,4
146,146,edisonn146.xlsx,GMM,5000,2,38,2:40,normal,0.3,1,500,0,146,48,50,57,112,19,57,25,8,57,57,4,21,51,3
147,147,edisonn147.xlsx,GMM,5000,2,38,2:40,normal,0.3,5,500,0,147,57,36,57,112,8,57,57,2,57,57,8,57,57,4
148,148,edisonn148.xlsx,GMM,5000,2,39,2:40,normal,0.1,1,500,0,148,57,21,58,114,21,58,58,35,58,58,4,56,58,48
149,149,edisonn149.xlsx,GMM,5000,2,39,2:40,normal,0.1,5,500,0,149,58,32,58,114,10,6,58,2,58,58,6,58,58,5
150,150,edisonn150.xlsx,GMM,5000,2,39,2:40,normal,0.3,1,500,0,150,53,25,58,114,18,58,30,53,58,58,4,4,57,2
151,151,edisonn151.xlsx,GMM,5000,2,39,2:40,normal,0.3,5,500,0,151,54,18,58,112,8,39,57,2,58,58,7,50,58,2
152,152,edisonn152.xlsx,GMM,5000,2,40,2:40,normal,0.1,1,500,0,152,53,25,59,108,19,59,58,5,59,59,7,50,59,3
153,153,edisonn153.xlsx,GMM,5000,2,40,2:40,normal,0.1,5,500,0,153,58,15,59,116,15,59,59,59,59,59,4,31,59,2
154,154,edisonn154.xlsx,GMM,5000,2,40,2:40,normal,0.3,1,500,0,154,47,19,59,116,4,38,31,5,59,59,4,14,56,2
155,155,edisonn155.xlsx,GMM,5000,2,40,2:40,normal,0.3,5,500,0,155,58,23,59,116,21,2,59,2,59,59,3,21,59,2
156,156,edisonn156.xlsx,GMM,5000,10,2,2:40,normal,0.1,1,500,0,156,10,3,21,4,3,3,3,2,6,18,3,3,6,11
157,157,edisonn157.xlsx,GMM,5000,10,2,2:40,normal,0.1,5,500,0,157,20,3,21,4,3,3,3,3,21,2,3,3,21,2
158,158,edisonn158.xlsx,GMM,5000,10,2,2:40,normal,0.3,1,500,0,158,19,2,21,34,3,4,3,4,4,21,3,3,4,3
159,159,edisonn159.xlsx,GMM,5000,10,2,2:40,normal,0.3,5,500,0,159,16,3,21,4,3,3,3,3,21,2,3,3,20,2
160,160,edisonn160.xlsx,GMM,5000,10,3,2:40,normal,0.1,1,500,0,160,18,3,22,4,3,4,4,2,16,2,4,4,16,11
161,161,edisonn161.xlsx,GMM,5000,10,3,2:40,normal,0.1,5,500,0,161,4,4,22,6,4,4,4,3,22,2,4,4,22,2
162,162,edisonn162.xlsx,GMM,5000,10,3,2:40,normal,0.3,1,500,0,162,15,7,20,12,4,4,4,3,4,22,4,4,4,6
163,163,edisonn163.xlsx,GMM,5000,10,3,2:40,normal,0.3,5,500,0,163,22,4,22,6,4,4,4,3,22,2,4,4,22,4
164,164,edisonn164.xlsx,GMM,5000,10,4,2:40,normal,0.1,1,500,0,164,19,5,23,8,5,4,4,2,14,2,4,5,14,12
165,165,edisonn165.xlsx,GMM,5000,10,4,2:40,normal,0.1,5,500,0,165,5,5,23,8,5,4,5,4,23,2,4,5,23,4
166,166,edisonn166.xlsx,GMM,5000,10,4,2:40,normal,0.3,1,500,0,166,14,7,22,12,4,2,4,2,4,23,3,4,3,2
167,167,edisonn167.xlsx,GMM,5000,10,4,2:40,normal,0.3,5,500,0,167,23,5,23,8,5,4,5,4,23,2,4,5,23,4
168,168,edisonn168.xlsx,GMM,5000,10,5,2:40,normal,0.1,1,500,0,168,20,5,24,8,5,5,7,4,18,2,5,7,18,2
169,169,edisonn169.xlsx,GMM,5000,10,5,2:40,normal,0.1,5,500,0,169,6,6,24,10,6,5,5,4,24,2,5,6,24,2
170,170,edisonn170.xlsx,GMM,5000,10,5,2:40,normal,0.3,1,500,0,170,6,6,24,10,6,3,6,3,7,24,6,6,7,14
171,171,edisonn171.xlsx,GMM,5000,10,5,2:40,normal,0.3,5,500,0,171,19,6,24,10,6,5,5,4,23,2,5,6,23,2
172,172,edisonn172.xlsx,GMM,5000,10,6,2:40,normal,0.1,1,500,0,172,25,6,25,10,6,6,8,3,25,2,6,8,25,15
173,173,edisonn173.xlsx,GMM,5000,10,6,2:40,normal,0.1,5,500,0,173,7,7,24,12,7,7,7,2,25,3,2,7,2,2
174,174,edisonn174.xlsx,GMM,5000,10,6,2:40,normal,0.3,1,500,0,174,25,7,25,12,7,5,7,3,9,24,5,7,9,10
175,175,edisonn175.xlsx,GMM,5000,10,6,2:40,normal,0.3,5,500,0,175,7,7,24,12,7,7,7,2,24,3,2,7,2,2
176,176,edisonn176.xlsx,GMM,5000,10,7,2:40,normal,0.1,1,500,0,176,22,8,26,14,8,8,8,4,22,2,8,8,22,16
177,177,edisonn177.xlsx,GMM,5000,10,7,2:40,normal,0.1,5,500,0,177,18,7,26,12,7,7,7,4,25,3,7,18,25,2
178,178,edisonn178.xlsx,GMM,5000,10,7,2:40,normal,0.3,1,500,0,178,16,7,26,16,7,4,9,4,12,24,7,9,12,2
179,179,edisonn179.xlsx,GMM,5000,10,7,2:40,normal,0.3,5,500,0,179,8,8,25,14,8,8,8,3,25,2,8,8,25,2
180,180,edisonn180.xlsx,GMM,5000,10,8,2:40,normal,0.1,1,500,0,180,25,9,27,16,9,9,9,3,27,2,9,9,27,2
181,181,edisonn181.xlsx,GMM,5000,10,8,2:40,normal,0.1,5,500,0,181,9,9,27,16,9,8,9,3,27,2,8,9,27,2
182,182,edisonn182.xlsx,GMM,5000,10,8,2:40,normal,0.3,1,500,0,182,24,6,27,18,3,3,10,3,11,2,5,11,11,17
183,183,edisonn183.xlsx,GMM,5000,10,8,2:40,normal,0.3,5,500,0,183,10,6,27,18,4,6,10,3,27,2,27,10,27,3
184,184,edisonn184.xlsx,GMM,5000,10,9,2:40,normal,0.1,1,500,0,184,26,7,28,12,7,2,7,2,28,13,2,22,2,3
