index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
114,114,edisonn114.xlsx,GMM,5000,2,30,2:40,uniform,0.3,1,500,0,114,45,11,49,96,6,49,47,41,49,49,4,6,49,3
115,115,edisonn115.xlsx,GMM,5000,2,30,2:40,uniform,0.3,5,500,0,115,49,8,49,96,6,8,49,3,49,49,3,46,49,2
116,116,edisonn116.xlsx,GMM,5000,2,31,2:40,uniform,0.1,1,500,0,116,48,10,50,98,8,50,50,42,50,2,4,50,50,2
117,117,edisonn117.xlsx,GMM,5000,2,31,2:40,uniform,0.1,5,500,0,117,49,6,50,98,37,50,50,3,50,50,2,48,45,2
118,118,edisonn118.xlsx,GMM,5000,2,31,2:40,uniform,0.3,1,500,0,118,44,28,50,98,17,50,50,44,50,50,4,47,50,3
119,119,edisonn119.xlsx,GMM,5000,2,31,2:40,uniform,0.3,5,500,0,119,50,20,50,98,8,2,50,2,50,49,3,49,50,2
120,120,edisonn120.xlsx,GMM,5000,2,32,2:40,uniform,0.1,1,500,0,120,48,18,51,90,18,51,48,2,51,51,2,48,51,2
121,121,edisonn121.xlsx,GMM,5000,2,32,2:40,uniform,0.1,5,500,0,121,51,6,51,100,2,51,47,2,51,51,2,31,51,2
122,122,edisonn122.xlsx,GMM,5000,2,32,2:40,uniform,0.3,1,500,0,122,46,20,51,100,17,30,48,2,51,51,2,31,48,2
123,123,edisonn123.xlsx,GMM,5000,2,32,2:40,uniform,0.3,5,500,0,123,51,24,51,100,3,22,51,2,51,51,3,45,51,2
124,124,edisonn124.xlsx,GMM,5000,2,33,2:40,uniform,0.1,1,500,0,124,49,29,52,102,23,2,52,2,52,52,6,52,52,2
125,125,edisonn125.xlsx,GMM,5000,2,33,2:40,uniform,0.1,5,500,0,125,52,7,47,102,4,47,45,2,52,52,3,51,47,2
126,126,edisonn126.xlsx,GMM,5000,2,33,2:40,uniform,0.3,1,500,0,126,44,30,52,102,33,2,52,2,52,52,8,47,47,3
127,127,edisonn127.xlsx,GMM,5000,2,33,2:40,uniform,0.3,5,500,0,127,50,10,52,102,4,2,52,2,52,52,3,46,52,2
128,128,edisonn128.xlsx,GMM,5000,2,34,2:40,uniform,0.1,1,500,0,128,53,25,53,82,12,5,53,2,53,53,3,52,53,2
